neuron1	neuron2	score
720575941564642304	720575940623871015	0.43427
720575941691311512	720575940660229505	0.611215
720575941416654620	720575940619153136	0.413826
720575941574984201	720575940622248453	0.623184
720575941467587606	720575940617552569	0.59242
720575941477392926	720575940631959097	0.617268
720575941534003075	720575940651808758	0.463004
720575941529711288	720575940623637226	0.678035
720575941438619410	720575940636703374	0.448485
720575941414341521	720575940613558509	0.587303
720575941572464798	720575940624991495	0.570679
720575941630997986	720575940612578962	0.35637
720575941593749541	720575940626339130	0.0768646
720575941411290539	720575940623747984	0.435707
720575941589747012	720575940620672432	0.489969
720575941592536939	720575940622830836	0.431387
720575941486413709	720575940626901136	0.697922
720575941542676572	720575940626295396	0.668218
720575941480969123	720575940652563361	0.4513
720575941430120289	720575940633218444	0.578605
720575941521070007	720575940621883844	0.403567
720575941471916608	720575940623497653	0.446073
720575941555505747	720575940627758833	0.352351
720575941439161567	720575940623788519	0.439263
720575941557943155	720575940634428058	0.639212
720575941467350237	720575940627538434	0.594026
720575941554172807	720575940605725873	0.621
720575941573083656	720575940615949836	0.458179
720575941611341898	720575940633185676	0.407921
720575941667252211	720575940630780589	0.176129
720575941537492712	720575940621978109	0.409483
720575941438459692	720575940629041790	0.405664
720575941583368543	720575940620811656	0.379064
720575941479267970	720575940620809599	0.424239
720575941626256266	720575940621107847	0.531374
720575941494975102	720575940603801056	0.462406
720575941527232514	720575940619914581	0.492395
720575941632059372	720575940646764579	0.575929
720575941460102340	720575940618855883	0.454301
720575941541271325	720575940606342089	0.629589
720575941408639535	720575940627845704	0.612222
720575941574706953	720575940630391639	0.441953
720575941564715264	720575940627372090	0.466345
720575941596424581	720575940603980256	0.624463
720575941515152195	720575940630425083	0.56535
720575941451958343	720575940611765032	0.431114
720575941598584768	720575940624117528	0.725794
720575941507205143	720575940605162924	0.576631
720575941626118252	720575940616449093	0.521803
720575941568408622	720575940615949836	0.450639
720575941625794186	720575940625094325	0.600048
720575941490705865	720575940616832901	0.394626
720575941568894202	720575940614137907	0.667082
720575941571901000	720575940611877841	0.468033
720575941492685232	720575940626180638	0.44555
720575941633863355	720575940659063169	0.469617
720575941592925992	720575940634903915	0.570831
720575941484965698	720575940626339130	0.476258
720575941618363007	720575940622976845	0.469352
720575941536695066	720575940641702304	0.397148
720575941631270626	720575940603595366	0.500964
720575941613540572	720575940624792880	0.459637
720575941632652987	720575940618291520	0.580355
720575941556338916	720575940635139439	0.460603
720575941448093972	720575940630121078	0.464885
720575941513990988	720575940624943084	0.714411
720575941485430992	720575940623128269	0.637136
720575941668336883	720575940629524483	0.413958
720575941626032074	720575940625887207	0.556046
720575941517447571	720575940611868825	0.526417
720575941671438247	720575940647471395	0.600464
720575941550649599	720575940623854276	0.481415
720575941611278825	720575940651808758	0.466132
720575941504621506	720575940641728712	0.461785
720575941605523902	720575940627582724	0.646388
720575941547432116	720575940626227774	0.44446
720575941535148778	720575940613403378	0.446719
720575941629944870	720575940610039219	0.521973
720575941655665108	720575940659379073	0.451055
720575941489274057	720575940622027222	0.680223
720575941537638627	720575940637608560	0.585067
720575941659000400	720575940631922489	0.393022
720575941491807463	720575940637126007	0.655451
720575941557591972	720575940639295347	0.49736
720575941576343222	720575940614668347	0.435917
720575941431357359	720575940618066555	0.41166
720575941655504084	720575940639711566	0.400646
720575941567089908	720575940615076418	0.415984
720575941585144415	720575940629946951	0.407807
